5656,gizmo2,0%,912.18,2/8/2024
8545,bar4,15%,829.56,1/20/2024
9157,bar1,10%,952.98,1/28/2024
4836,bar8,10%,127.03,1/21/2024
7825,bar9,10%,404.6,1/17/2024
5474,mouse1,5%,254.05,1/23/2024
8332,click5,10%,786.05,1/19/2024
4448,bar9,5%,404.6,1/29/2024
5997,click9,10%,482.91,1/30/2024
4210,gizmo4,10%,180.72,2/7/2024
6922,bar3,10%,993.6,1/31/2024
7971,bar7,5%,390.54,2/6/2024
9613,gizmo1,10%,908.66,1/15/2024
3844,mouse3,10%,92.48,1/22/2024
9160,mouse5,0%,54.7,1/21/2024
2479,gizmo7,15%,589,1/21/2024
4787,click6,10%,920.85,2/1/2024
6995,gizmo9,5%,518.66,1/29/2024
9201,mouse7,5%,101.98,1/21/2024
6320,bar4,10%,829.56,1/14/2024
5382,click8,10%,586.15,1/30/2024
9753,mouse8,10%,365,2/2/2024
9157,bar3,10%,993.6,1/28/2024
5244,gizmo8,10%,327.95,1/16/2024
6945,bar6,10%,407.48,2/1/2024
1338,mouse7,15%,101.98,1/30/2024
6264,click5,0%,786.05,1/16/2024
5651,mouse8,0%,365,1/30/2024
4243,mouse1,0%,254.05,2/9/2024
3829,bar7,0%,390.54,1/22/2024
7825,gizmo8,10%,327.95,1/17/2024
6287,click4,15%,537.92,1/17/2024
9681,bar9,15%,404.6,1/16/2024
8316,gizmo3,5%,793.27,2/3/2024
3892,click3,10%,648.65,2/3/2024
5099,mouse8,10%,365,2/7/2024
2203,bar7,15%,390.54,1/25/2024
2970,click8,10%,586.15,1/23/2024
4118,gizmo9,10%,518.66,1/12/2024
3829,click9,15%,482.91,1/22/2024
4118,mouse2,5%,584.26,1/12/2024
7235,gizmo9,5%,518.66,2/6/2024
5507,mouse2,5%,584.26,1/12/2024
4118,gizmo4,0%,180.72,1/12/2024
7232,mouse8,5%,365,2/4/2024
8545,gizmo2,10%,912.18,1/20/2024
9826,bar7,10%,390.54,1/20/2024
2716,gizmo2,5%,912.18,1/23/2024
3829,bar3,15%,993.6,1/22/2024
2489,gizmo8,10%,327.95,1/19/2024
1876,gizmo9,10%,518.66,1/24/2024
4653,mouse1,10%,254.05,1/15/2024
7813,bar6,5%,407.48,1/24/2024
5382,mouse4,10%,95.43,1/30/2024
3829,click8,5%,586.15,1/22/2024
7010,bar4,0%,829.56,2/4/2024
7721,bar7,15%,390.54,1/13/2024
2555,bar7,10%,390.54,2/8/2024
5244,bar8,0%,127.03,1/16/2024
3892,mouse1,0%,254.05,2/3/2024
4522,mouse6,10%,602.83,1/26/2024
7966,click1,15%,729.35,1/24/2024
4836,click6,10%,920.85,1/21/2024
6922,bar9,0%,404.6,1/31/2024
6264,click7,15%,630.29,1/16/2024
4522,gizmo7,5%,589,1/26/2024
8067,mouse6,10%,602.83,2/11/2024
2990,click7,15%,630.29,1/30/2024
1338,bar7,5%,390.54,1/30/2024
2376,click9,5%,482.91,1/15/2024
5017,bar7,5%,390.54,2/7/2024
7523,gizmo2,5%,912.18,1/17/2024
4587,click4,15%,537.92,2/9/2024
7813,bar9,10%,404.6,1/24/2024
5656,mouse6,10%,602.83,2/8/2024
7235,click6,5%,920.85,2/6/2024
4848,gizmo3,0%,793.27,2/6/2024
6320,click6,15%,920.85,1/14/2024
7264,click6,5%,920.85,1/31/2024
5382,mouse2,10%,584.26,1/30/2024
5590,mouse4,10%,95.43,1/21/2024
8622,gizmo2,5%,912.18,1/21/2024
4624,gizmo6,5%,411.19,1/26/2024
2242,mouse6,10%,602.83,1/26/2024
6299,bar4,15%,829.56,2/6/2024
2203,bar6,0%,407.48,1/25/2024
4448,bar5,5%,946.7,1/29/2024
4304,gizmo9,10%,518.66,1/16/2024
6264,gizmo9,10%,518.66,1/16/2024
2555,click7,10%,630.29,2/8/2024
9201,gizmo1,15%,908.66,1/21/2024
6299,click3,5%,648.65,2/6/2024
2479,mouse4,10%,95.43,1/21/2024
4502,gizmo2,10%,912.18,1/30/2024
9826,gizmo7,0%,589,1/20/2024
6945,click1,15%,729.35,2/1/2024
7971,mouse1,0%,254.05,2/6/2024
4502,gizmo6,10%,411.19,1/30/2024
3129,mouse1,5%,254.05,1/20/2024
4410,click2,10%,447.88,1/28/2024
4653,gizmo8,0%,327.95,1/15/2024
6287,click1,15%,729.35,1/17/2024
6771,bar8,10%,127.03,2/5/2024
2970,gizmo5,15%,726.52,1/23/2024
7825,gizmo3,15%,793.27,1/17/2024
4410,bar4,0%,829.56,1/28/2024
4624,click9,0%,482.91,1/26/2024
1016,click8,15%,586.15,1/17/2024
4551,gizmo4,10%,180.72,1/18/2024
2239,bar1,10%,952.98,2/2/2024
9542,gizmo1,0%,908.66,1/18/2024
5507,bar4,15%,829.56,1/12/2024
4304,bar3,10%,993.6,1/16/2024
4653,click2,0%,447.88,1/15/2024
3370,gizmo3,5%,793.27,1/30/2024
2716,gizmo3,5%,793.27,1/23/2024
5997,click6,5%,920.85,1/30/2024
4170,gizmo2,10%,912.18,1/20/2024
4746,mouse8,10%,365,1/23/2024
1338,click1,10%,729.35,1/30/2024
5017,mouse9,10%,409.67,2/7/2024
4551,mouse4,5%,95.43,1/18/2024
7523,click2,10%,447.88,1/17/2024
2716,click8,10%,586.15,1/23/2024
4587,mouse9,10%,409.67,2/9/2024
6578,gizmo7,15%,589,1/27/2024
9157,mouse8,15%,365,1/28/2024
3892,mouse7,5%,101.98,2/3/2024
9753,mouse2,0%,584.26,2/2/2024
9681,mouse2,5%,584.26,1/16/2024
9160,bar4,0%,829.56,1/21/2024
6995,mouse1,10%,254.05,1/29/2024
6995,bar7,5%,390.54,1/29/2024
6922,bar4,10%,829.56,1/31/2024
9826,bar2,10%,905.61,1/20/2024
2242,gizmo6,5%,411.19,1/26/2024
8450,mouse6,10%,602.83,1/31/2024
3892,mouse9,10%,409.67,2/3/2024
3561,gizmo4,10%,180.72,2/6/2024
4170,mouse3,10%,92.48,1/20/2024
5017,click6,10%,920.85,2/7/2024
2242,click3,5%,648.65,1/26/2024
9160,click2,10%,447.88,1/21/2024
4304,gizmo3,0%,793.27,1/16/2024
4848,gizmo6,15%,411.19,2/6/2024
2242,gizmo5,10%,726.52,1/26/2024
6430,gizmo6,0%,411.19,1/25/2024
3282,bar2,15%,905.61,1/16/2024
1338,mouse3,5%,92.48,1/30/2024
5017,gizmo7,15%,589,2/7/2024
7010,mouse8,5%,365,2/4/2024
8106,bar7,15%,390.54,1/12/2024
5017,click1,0%,729.35,2/7/2024
3282,gizmo2,5%,912.18,1/16/2024
7232,bar1,15%,952.98,2/4/2024
3129,gizmo3,0%,793.27,1/20/2024
9542,mouse5,15%,54.7,1/18/2024
4210,click3,10%,648.65,2/7/2024
9017,click6,10%,920.85,2/11/2024
2970,mouse7,10%,101.98,1/23/2024
5034,click4,0%,537.92,2/1/2024
4624,gizmo4,0%,180.72,1/26/2024
9613,click8,10%,586.15,1/15/2024
4502,mouse4,10%,95.43,1/30/2024
5474,gizmo6,5%,411.19,1/23/2024
7813,click2,15%,447.88,1/24/2024
1150,bar2,15%,905.61,1/22/2024
5651,click5,15%,786.05,1/30/2024
5997,gizmo2,10%,912.18,1/30/2024
5500,mouse3,0%,92.48,2/6/2024
7232,mouse1,10%,254.05,2/4/2024
6945,mouse9,0%,409.67,2/1/2024
3539,click5,5%,786.05,1/15/2024
3282,gizmo8,10%,327.95,1/16/2024
4243,click9,10%,482.91,2/9/2024
6578,bar8,10%,127.03,1/27/2024
5656,mouse3,15%,92.48,2/8/2024
4787,gizmo8,10%,327.95,2/1/2024
4170,mouse6,5%,602.83,1/20/2024
9681,mouse5,15%,54.7,1/16/2024
4551,gizmo9,0%,518.66,1/18/2024
7232,gizmo7,5%,589,2/4/2024
4410,gizmo3,10%,793.27,1/28/2024
4448,gizmo3,0%,793.27,1/29/2024
2376,bar3,5%,993.6,1/15/2024
9160,click4,15%,537.92,1/21/2024
7825,bar1,5%,952.98,1/17/2024
7971,bar2,5%,905.61,2/6/2024
4243,mouse9,10%,409.67,2/9/2024
7232,click8,0%,586.15,2/4/2024
7010,click2,15%,447.88,2/4/2024
9542,mouse3,15%,92.48,1/18/2024
6578,gizmo5,5%,726.52,1/27/2024
6320,gizmo9,15%,518.66,1/14/2024
6299,mouse4,10%,95.43,2/6/2024
9753,bar1,10%,952.98,2/2/2024
7813,click3,0%,648.65,1/24/2024
6287,bar5,15%,946.7,1/17/2024
9826,mouse3,10%,92.48,1/20/2024
5382,click4,0%,537.92,1/30/2024
7906,mouse6,5%,602.83,1/19/2024
9201,gizmo3,5%,793.27,1/21/2024
6771,click1,0%,729.35,2/5/2024
8986,gizmo9,5%,518.66,2/1/2024
3892,bar4,15%,829.56,2/3/2024
4624,gizmo9,15%,518.66,1/26/2024
4848,gizmo8,10%,327.95,2/6/2024
4836,mouse8,10%,365,1/21/2024
2479,gizmo5,5%,726.52,1/21/2024
5656,bar2,10%,905.61,2/8/2024
6897,gizmo1,10%,908.66,1/13/2024
5617,bar2,5%,905.61,2/3/2024
6299,gizmo8,10%,327.95,2/6/2024
3370,click6,5%,920.85,1/30/2024
5651,click6,5%,920.85,1/30/2024
7825,mouse9,0%,409.67,1/17/2024
4243,click6,10%,920.85,2/9/2024
2555,mouse1,5%,254.05,2/8/2024
4410,mouse8,15%,365,1/28/2024
8450,click9,10%,482.91,1/31/2024
5651,bar1,5%,952.98,1/30/2024
7721,click7,0%,630.29,1/13/2024
7010,bar3,10%,993.6,2/4/2024
8803,bar8,0%,127.03,1/25/2024
2970,mouse2,10%,584.26,1/23/2024
7906,bar1,5%,952.98,1/19/2024
2874,bar2,10%,905.61,1/23/2024
3129,gizmo1,0%,908.66,1/20/2024
4502,click2,10%,447.88,1/30/2024
6299,click2,0%,447.88,2/6/2024
7235,gizmo8,10%,327.95,2/6/2024
1876,mouse4,5%,95.43,1/24/2024
